"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"ENSMUSG00000005547","Cyp2a5","-1.8503555027","3.13387381049699e-11","2.55880796627079e-08"
"ENSMUSG00000021228","Acot3","-1.6790028925","9.1049809801221e-12","8.73481146995572e-09"
"ENSMUSG00000022025","Cnmd","-1.5149475932","4.5073481481965e-12","5.03613125463492e-09"
"ENSMUSG00000022241","Tars","1.4151786752","9.723581748808859e-14","1.3761461129697602e-10"
"ENSMUSG00000026380","Tfcp2l1","1.0176201042","3.72765361265707e-11","2.8127868856921696e-08"
"ENSMUSG00000026614","Slc30a10","1.6958419795","1.02545130601514e-11","9.070544073081451e-09"
"ENSMUSG00000027993","Trim2","1.5193300843","6.04053726680391e-13","7.297459477594469e-10"
"ENSMUSG00000030244","Gys2","-1.100466245","5.513625817606991e-12","5.85243812409894e-09"
"ENSMUSG00000030302","Atp2b2","2.3695515005","3.8424240277485e-11","2.8127868856921696e-08"
"ENSMUSG00000031016","Wee1","-2.0314854368","2.6340806879885698e-11","2.23675595701238e-08"
"ENSMUSG00000032010","Usp2","-2.4970550329","9.296384780615661e-14","1.3761461129697602e-10"
"ENSMUSG00000033066","Gas7","1.0630094654","6.187492137957529e-13","7.297459477594468e-10"
"ENSMUSG00000034157","Cipc","-0.750474216","7.2133059824523e-15","1.5313127270147994e-11"
"ENSMUSG00000037580","Gch1","-0.7480877592","3.59137801964214e-11","2.8127868856921696e-08"
"ENSMUSG00000039982","Dtx4","1.9437822865","3.77269325578713e-15","1.00113131408881e-11"
"ENSMUSG00000044505","Lingo4","-1.6456126576","4.7585472517982594e-15","1.1224355512047199e-11"
"ENSMUSG00000052632","Asap2","1.6818959148","6.911988047811092e-14","1.12872764820755e-10"
"ENSMUSG00000055116","Arntl","3.1121923482","6.5442759602509696e-12","6.61563973143657e-09"
"ENSMUSG00000057068","Fam47e","-1.3405538988","1.4476214179250603e-14","2.7937777346482897e-11"
"ENSMUSG00000062590","Armc9","1.1408334942","4.34414066313572e-14","7.68514684480901e-11"
"ENSMUSG00000073910","Mob3b","0.7574161659","4.54408474497279e-11","3.21554583503425e-08"
"ENSMUSG00000096054","Syne1","1.431401167","5.112954466094799e-13","6.78393189754541e-10"
"ENSMUSG00000103288","nan","-2.3116586413","3.57583435780659e-15","1.00113131408881e-11"
"ENSMUSG00000113387","Gm31508","2.821047615","9.46350105087294e-12","8.73481146995572e-09"
"ENSMUSG00000076138","nan","-21.4837396016","9.43690823044318e-25","2.00336124824078e-20"
"ENSMUSG00000009647","Mcu","1.2686657828","1.39058189181195e-21","1.4760331490637903e-17"
"ENSMUSG00000027068","Dhrs9","2.8559734791","8.06741160467704e-20","5.70876936518963e-16"
"ENSMUSG00000037847","Nmrk1","-1.7220123641","2.4764208829517797e-18","1.07288644409072e-14"
