"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"ENSMUSG00000099009","nan","0.9789475075","0.363953705092552","0.8867177035265401"
"ENSMUSG00000092260","Zfp963","0.1457412773","0.3639559510160039","0.8867177035265401"
"ENSMUSG00000060176","Kif27","0.6797854271","0.36401581826164","0.8867177035265401"
"ENSMUSG00000030978","Rrm1","-0.1793810128","0.364152087008663","0.8867177035265401"
"ENSMUSG00000042389","Tsen2","-0.1667051906","0.364168049580136","0.8867177035265401"
"ENSMUSG00000085415","Selenok-ps1","-0.9530925944","0.3641727234146521","nan"
"ENSMUSG00000052144","Ppp4r2","-0.0893145056","0.364229037445068","0.8867177035265401"
"ENSMUSG00000052423","B4galt3","-0.0982496668","0.364277431848495","0.8867177035265401"
"ENSMUSG00000021684","Pde8b","0.3676184117","0.36429694435795595","0.8867177035265401"
"ENSMUSG00000022055","Nefl","0.855771956","0.364326012666125","0.8867177035265401"
"ENSMUSG00000117475","nan","-0.7264870213","0.3643370228465779","nan"
"ENSMUSG00000045466","Zfp956","-0.1762381657","0.364361283156431","0.8867177035265401"
"ENSMUSG00000092519","Actl9","-0.7364181174","0.3643732886538529","nan"
"ENSMUSG00000002032","Tmem25","0.1987549732","0.36439983984716295","0.8867177035265401"
"ENSMUSG00000031770","Herpud1","-0.241293696","0.3644024648284661","0.8867177035265401"
"ENSMUSG00000027379","Bub1","0.8317552037","0.3644433943013161","0.8867177035265401"
"ENSMUSG00000102496","nan","0.379374785","0.364528317138586","0.8867203144291841"
"ENSMUSG00000056596","Trnp1","-0.9655777455","0.364537473505893","0.8867203144291841"
"ENSMUSG00000087466","A330041J22Rik","0.6364837969","0.3645622659547801","nan"
"ENSMUSG00000094787","nan","1.4927027925","0.36471115376963104","0.887029627561139"
"ENSMUSG00000028766","Alpl","0.2938362503","0.364795482743622","0.887121574410839"
"ENSMUSG00000038895","Zfp653","-0.1192401669","0.364858249942996","0.887161069869045"
"ENSMUSG00000097705","nan","0.3932246472","0.36493935985661","0.887207857940247"
"ENSMUSG00000080941","nan","-1.1682749741","0.36495224868881104","nan"
"ENSMUSG00000045767","B230219D22Rik","0.0657621548","0.364970549490418","0.887207857940247"
"ENSMUSG00000023033","Scn8a","0.6689574695","0.36503502153448497","0.8872514710796121"
"ENSMUSG00000028082","Sh3d19","-0.1466000921","0.365119309066072","0.8872568261320992"
"ENSMUSG00000049134","Nrap","1.0488653832","0.365165026805248","0.8872568261320992"
"ENSMUSG00000020388","Pdlim4","0.4367687383","0.36525490365918206","0.8872568261320992"
"ENSMUSG00000020357","Flt4","0.1420339366","0.36528403268938797","0.8872568261320992"
"ENSMUSG00000049001","Ndnf","1.1101181225","0.365302032791105","0.8872568261320992"
"ENSMUSG00000036992","Nxt1","-0.1312657298","0.3653164118923379","0.8872568261320992"
"ENSMUSG00000080741","nan","-1.9137742203","0.365425548428834","nan"
"ENSMUSG00000118239","nan","0.2135710125","0.365428768432178","0.8874015153961929"
"ENSMUSG00000043067","Dpy19l1","0.0766583428","0.3655076138173339","0.8874015153961929"
"ENSMUSG00000080888","nan","0.7018691519","0.365524236814016","0.8874015153961929"
"ENSMUSG00000047033","Pcdhb15","0.8534420389","0.365604140509106","0.8874015153961929"
"ENSMUSG00000002227","Mov10","0.1319880691","0.36560867972270295","0.8874015153961929"
"ENSMUSG00000052917","Senp7","-0.1388693204","0.365774459671396","0.8876828347641501"
"ENSMUSG00000021611","Tert","0.2742868825","0.365817690139327","0.8876828347641501"
"ENSMUSG00000036572","Upf3b","-0.0889984102","0.3659163292368929","0.8877275565514471"
"ENSMUSG00000096490","Igkv10-94","-1.3952472696","0.36593682826708895","0.8877275565514471"
"ENSMUSG00000002871","Tpra1","0.1261444295","0.36600615131506703","0.8877275565514471"
"ENSMUSG00000052533","Nup188","0.1294766871","0.3660457293429609","0.8877275565514471"
"ENSMUSG00000042178","Armc5","0.0833947807","0.366083926699305","0.8877275565514471"
"ENSMUSG00000029059","Prxl2b","-0.2175079363","0.36617737179109705","0.8877275565514471"
"ENSMUSG00000030067","Foxp1","0.1340571451","0.3661987982930871","0.8877275565514471"
"ENSMUSG00000007867","Ift43","0.2115366169","0.366208567224338","0.8877275565514471"
"ENSMUSG00000011752","Pgam1","0.1197387656","0.366260621022066","0.8877408823755891"
"ENSMUSG00000051790","Nlgn2","-0.2440346046","0.366411010692012","0.887938254441381"
"ENSMUSG00000019761","Krt10","-0.4508070415","0.36643518587157703","0.887938254441381"
"ENSMUSG00000003418","St8sia6","0.7997905028","0.366592287378375","0.8881446111968979"
"ENSMUSG00000029530","Ccr9","-0.6602179779","0.366682798647004","0.8881446111968979"
"ENSMUSG00000020349","Ppp2ca","-0.0618668936","0.366706028510065","0.8881446111968979"
"ENSMUSG00000001672","Marveld3","0.3873914117","0.366820414958025","0.8881446111968979"
"ENSMUSG00000029763","Exoc4","-0.0931714675","0.36683416172123295","0.8881446111968979"
"ENSMUSG00000086448","nan","0.1731483909","0.366839867305229","0.8881446111968979"
"ENSMUSG00000035401","Emsy","-0.1054077013","0.3668532298249421","0.8881446111968979"
"ENSMUSG00000117231","Gm41609","1.1054782834","0.366954474191114","nan"
"ENSMUSG00000103502","nan","-0.3035895671","0.3669550977426671","0.8881446111968979"
"ENSMUSG00000021969","Zdhhc20","-0.144260493","0.36697938715853795","0.8881446111968979"
"ENSMUSG00000044456","Rin3","-0.1957277004","0.36699516248944","0.8881446111968979"
"ENSMUSG00000102055","nan","1.4927598004","0.367007389106326","nan"
