"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"ENSMUSG00000026077","Npas2","1.4992993988","4.53312310379497e-12","2.06719479779258e-08"
"ENSMUSG00000071521","Try10","19.0471081674","1.9130759762643105e-13","1.09050113337006e-09"
"ENSMUSG00000067229","Cyp2c66","-17.6534650207","4.0851830109064285e-25","9.314625783167757e-21"
"ENSMUSG00000032010","Usp2","-1.7190898586","8.87023205648864e-22","1.0112508055999901e-17"
"ENSMUSG00000022389","Tef","-1.5018630331","2.2984736916853504e-16","1.74691662147059e-12"
"ENSMUSG00000003949","Hlf","-1.6565545097","4.08221790134384e-10","1.55131083947568e-06"
"ENSMUSG00000024660","Incenp","0.9020359712","8.4153693136652e-10","2.65421666542522e-06"
"ENSMUSG00000038550","Ciart","-2.5087232436","9.312632482523481e-10","2.65421666542522e-06"
"ENSMUSG00000055926","Gm14137","2.2899879917","1.0636817686793801e-09","2.6947786675176e-06"
"ENSMUSG00000028068","Iqgap3","1.6205996802","2.3584540812950197e-09","5.37751115076077e-06"
"ENSMUSG00000062563","Cys1","-1.2795228442","6.8851735825202195e-09","1.42717129868221e-05"
"ENSMUSG00000058290","Espl1","1.4416846873","8.968846810773922e-09","1.7041556344371398e-05"
"ENSMUSG00000025511","Tspan4","-1.3889047805","9.73036549803462e-09","1.7066312593899e-05"
"ENSMUSG00000110496","nan","-3.1190628663","1.73306334262268e-08","2.8225412339385497e-05"
"ENSMUSG00000005982","Naa60","-0.4515393147","2.7420973191992497e-08","3.979161943843089e-05"
"ENSMUSG00000071517","Gm10334","23.2098982018","2.8339517234214598e-08","3.979161943843089e-05"
"ENSMUSG00000039814","Xkr5","1.4233414399","3.1654899261374104e-08","3.979161943843089e-05"
"ENSMUSG00000035486","Plk5","-2.3094031138","3.180970654868201e-08","3.979161943843089e-05"
"ENSMUSG00000036777","Anln","1.1880207037","3.31582285570891e-08","3.979161943843089e-05"
"ENSMUSG00000030256","Bhlhe41","-1.627073311","3.56588082069222e-08","4.0652824296301704e-05"
"ENSMUSG00000055866","Per2","-1.4208579036","4.69251272060259e-08","4.9308366648016204e-05"
"ENSMUSG00000055116","Arntl","1.2816911326","4.7576161846250405e-08","4.9308366648016204e-05"
"ENSMUSG00000042487","Leo1","0.7888569827","7.98996681566476e-08","7.92083623321618e-05"
"ENSMUSG00000029641","Rasl11a","1.4700521451","8.44776785633817e-08","8.025731453848609e-05"
"ENSMUSG00000048905","Bnip5","1.4034080522","1.02315445404931e-07","9.33157788271131e-05"
"ENSMUSG00000028957","Per3","-1.3659387358","1.69422611398042e-07","0.000148577113941799"
"ENSMUSG00000079553","Kifc1","1.384332132","3.1912500240581195e-07","0.000262546790593643"
"ENSMUSG00000021775","Nr1d2","-1.0477542659","3.2945050973410696e-07","0.000262546790593643"
