"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"ENSMUSG00000087412","Gm15501","-0.0304267946","0.838111906135955","1.0"
"ENSMUSG00000042197","Zfp451","0.0317128444","0.838145051824871","1.0"
"ENSMUSG00000030890","Ilk","-0.0145678561","0.8381522245898799","1.0"
"ENSMUSG00000101397","Mug-ps1","-0.2164218396","0.8382867795154529","1.0"
"ENSMUSG00000063623","nan","-0.0685432063","0.8383436598855799","1.0"
"ENSMUSG00000032946","Rasgrp2","-0.0460799976","0.838370705325112","1.0"
"ENSMUSG00000084072","Gm11285","1.0273802523","0.8385510774902719","nan"
"ENSMUSG00000117988","Gm8663","-0.4152521948","0.83856788906336","1.0"
"ENSMUSG00000030131","Mug2","0.1465096016","0.838588563884708","1.0"
"ENSMUSG00000099693","nan","-0.4153260847","0.838626746962419","nan"
"ENSMUSG00000121077","nan","1.027422662","0.838629173101905","nan"
"ENSMUSG00000021469","Msx2","0.2839787462","0.8386999212978141","1.0"
"ENSMUSG00000039452","Snx22","-0.0880548451","0.8387606566002309","1.0"
"ENSMUSG00000024527","Afg3l2","-0.0309446372","0.838772240589068","1.0"
"ENSMUSG00000026725","Tnn","-0.2470610764","0.838839894974186","1.0"
"ENSMUSG00000038192","Cer1","-0.4152429917","0.8388824155953841","nan"
"ENSMUSG00000062542","Syt9","-0.1241260637","0.8389276501968059","1.0"
"ENSMUSG00000120778","nan","-0.4152619197","0.838941091981889","nan"
"ENSMUSG00000031513","Leprotl1","-0.0206097805","0.839066057199324","1.0"
"ENSMUSG00000050550","nan","-0.1652978099","0.839082186488529","nan"
"ENSMUSG00000003154","Foxj2","0.027033927","0.839106194606193","1.0"
"ENSMUSG00000120327","nan","1.0274066413","0.8391111016687649","nan"
"ENSMUSG00000024588","Fech","-0.0363691367","0.839150162569765","1.0"
"ENSMUSG00000029630","Cyp3a25","-0.1454331697","0.8391579441461159","1.0"
"ENSMUSG00000116478","Gm18890","-0.108901905","0.839170134501638","nan"
"ENSMUSG00000082691","nan","0.1192284386","0.839178318514553","1.0"
"ENSMUSG00000031642","Sh3rf1","-0.0312663551","0.8392788882919421","1.0"
"ENSMUSG00000072946","Ptgr2","-0.0386387814","0.8393081976515","1.0"
"ENSMUSG00000007777","0610009B22Rik","-0.0255419985","0.839382236009053","1.0"
"ENSMUSG00000081194","Gm8424","0.5465425371","0.83938712522537","nan"
"ENSMUSG00000034768","Asb16","-0.1836140607","0.8394141382696679","1.0"
"ENSMUSG00000028763","Hspg2","-0.0289385205","0.8395008532772109","1.0"
"ENSMUSG00000047878","A4galt","0.1041910618","0.839558211924768","1.0"
"ENSMUSG00000091419","nan","0.546513083","0.839611087968296","nan"
"ENSMUSG00000113819","nan","0.5464349632","0.8396240170134871","nan"
"ENSMUSG00000066306","Numa1","0.0175917357","0.8396395093621841","1.0"
"ENSMUSG00000108991","nan","-0.415238883","0.8397361531568579","nan"
"ENSMUSG00000044164","Rnf182","-0.2632516287","0.8397382191411591","1.0"
"ENSMUSG00000032093","Cd3e","0.0891170428","0.839752931151424","1.0"
"ENSMUSG00000114425","nan","-1.2469577118","0.83977364560066","nan"
"ENSMUSG00000094561","nan","-0.2538894701","0.8398482236003779","1.0"
"ENSMUSG00000120900","nan","0.8388428867","0.839947891707562","nan"
"ENSMUSG00000015980","Lrrc27","0.0756838318","0.839969248830655","1.0"
"ENSMUSG00000114932","Gm4936","-0.2965395909","0.8400432338739109","nan"
"ENSMUSG00000071078","Nr2c2ap","0.0241375412","0.840069624204139","1.0"
"ENSMUSG00000024738","Pga5","0.7025810771","0.8400814319761729","nan"
"ENSMUSG00000065669","Gm22581","0.5462876668","0.8400861322175251","nan"
"ENSMUSG00000097162","2310010J17Rik","0.0444789353","0.840106997192843","1.0"
"ENSMUSG00000032006","Pdgfd","0.0572847238","0.840146752743388","1.0"
"ENSMUSG00000030314","Atg7","0.0238221233","0.840232010572739","1.0"
"ENSMUSG00000028878","Fam76a","0.0218183979","0.8402716974589459","1.0"
"ENSMUSG00000120147","nan","-0.4152606122","0.840291387330295","nan"
"ENSMUSG00000053931","Cnn3","0.0440217618","0.840317556016703","1.0"
"ENSMUSG00000094051","nan","-0.4166087881","0.840321375514525","1.0"
"ENSMUSG00000077391","Gm24336","-0.4154679687","0.840386080130966","nan"
"ENSMUSG00000097726","9530036O11Rik","-0.3081398392","0.8403930979707809","nan"
"ENSMUSG00000074238","Ap1ar","0.0291155612","0.84040587533967","1.0"
"ENSMUSG00000096111","nan","0.2355540239","0.8404235495388008","nan"
"ENSMUSG00000086013","Gm15706","-0.0851001482","0.8404282348091021","1.0"
"ENSMUSG00000105340","nan","0.0532490875","0.8404569465318321","1.0"
"ENSMUSG00000111671","Gm6983","-0.3515419325","0.840500326993169","nan"
"ENSMUSG00000109492","Gm33882","1.0274187035","0.840566212335503","nan"
"ENSMUSG00000021850","ccdc198","-0.2561391411","0.840601657176256","1.0"
"ENSMUSG00000054662","Ano9","-0.2287600295","0.8407453641241899","1.0"
"ENSMUSG00000109366","nan","-0.1150616287","0.8407528216485619","1.0"
"ENSMUSG00000053353","2310001K24Rik","-0.1465315161","0.8407787063615799","1.0"
"ENSMUSG00000102983","nan","0.4298322746","0.8407821283841841","nan"
